idx,period,amplitude,R21,phase_dif,class
184,0.4532,0.77,0.469,4.176,1
185,0.4769,0.297,0.872,6.441,0
186,0.6141,0.122,0.39799999999999996,6.593999999999999,0
187,0.1696,0.19399999999999998,0.152,6.172999999999999,0
188,1.1577,0.159,0.493,6.256,0
189,4.8426,0.677,0.40399999999999997,6.542999999999999,1
190,2.0658,0.203,0.7020000000000001,6.294,0
191,1.9662,0.051,0.055999999999999994,8.257,1
192,0.3056,0.27899999999999997,0.132,6.2829999999999995,0
193,0.1303,0.102,0.366,6.221,0
194,1.5012,0.055,0.345,4.574,1
195,0.3314,0.223,0.14300000000000002,6.1610000000000005,0
196,0.3518,0.11699999999999999,0.069,6.218999999999999,0
197,0.2175,0.086,0.061,5.2,1
198,0.5629,0.609,0.878,6.229,0
199,3.8307,0.048,0.556,4.66,1
200,0.9327,0.16899999999999998,0.53,6.417999999999999,0
